INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
155472112,08/02/2016,23:05:00,BRONX,,43,0,,,false,18-24,M,BLACK,25-44,M,BLACK,1021100.812500000000000,244445.609375000000000,40.837553378000052,-73.866825910999978,POINT (-73.86682591099998 40.83755337800005)
178564737,04/24/2018,21:25:00,BROOKLYN,,67,0,,,false,25-44,M,BLACK,25-44,M,BLACK,1003283.250000000000000,173605.796875000000000,40.64317219000003,-73.931417379999971,POINT (-73.93141737999997 40.64317219000003)
178740661,04/29/2018,11:52:00,BROOKLYN,,70,0,,,false,45-64,M,WHITE HISPANIC,25-44,M,BLACK,995923.687500000000000,173232.140625000000000,40.642159341000024,-73.957937332999961,POINT (-73.95793733299998 40.642159341000024)
205280613,11/17/2019,14:45:00,MANHATTAN,,23,2,,MULTI DWELL - PUBLIC HOUS,false,,,,<18,M,BLACK HISPANIC,1000101.500000000000000,229680.187500000000000,40.797089099000061,-73.942750385999943,POINT (-73.94275038599994 40.79708909900006)
86560244,09/03/2012,02:14:00,BRONX,,48,0,,,false,,,,25-44,M,WHITE HISPANIC,1015269.125000000000000,247736.375000000000000,40.846607972000072,-73.887885861999962,POINT (-73.88788586199996 40.84660797200007)
233763098,09/18/2021,03:24:00,BROOKLYN,,67,0,,,false,25-44,M,BLACK,25-44,F,WHITE,1004006,171400,40.63711616800003,-73.92881949599996,POINT (-73.92881949599996 40.63711616800003)
47229777,06/14/2008,04:03:00,QUEENS,,103,0,,COMMERCIAL BLDG,false,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1043643.312500000000000,193642.796875000000000,40.697990428000026,-73.785808514999985,POINT (-73.78580851499999 40.697990428000026)
10187497,01/19/2006,20:23:00,MANHATTAN,,32,0,,NONE,false,25-44,M,BLACK,25-44,M,BLACK,1001065.312500000000000,234581.828125000000000,40.810540974000048,-73.939257097999985,POINT (-73.93925709799998 40.81054097400005)
66170349,09/26/2009,00:31:00,BROOKLYN,,75,2,,MULTI DWELL - PUBLIC HOUS,true,18-24,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1016585.562500000000000,179939.921875000000000,40.660519398000076,-73.883453750999934,POINT (-73.88345375099993 40.660519398000076)
201291290,08/16/2019,22:25:00,BRONX,,52,0,,,true,UNKNOWN,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1014313.375000000000000,254675.796875000000000,40.865657906000081,-73.891309202999935,POINT (-73.89130920299993 40.86565790600008)
